SourceID,SourceName,SourceType,SourceTier,PublishedDate,URL,WhatItSupports
S1,DoorDash Q2 2026 Financial Results,DoorDash Investor Relations,A / Primary company financial,2026-08-05,https://ir.doordash.com/financials/quarterly-results/,"Quarterly scale: orders, Marketplace GOV, revenue, and historical quarter trend."
S2,DoorDash $131.5M NYC delivery-worker pay settlement,Reuters,A / Independent current reporting,2026-09-22,https://www.reuters.com/world/doordash-reaches-1315-million-settlement-with-nyc-over-delivery-workers-pay-2026-09-22/,"Settlement amount, worker pool, affected-worker count, online/on-call and missed/delayed-payment components; DoorDash explanation of technical/complex-scenario issues."
S3,DoorDash Q2 2026 Form 10-Q,SEC EDGAR,A / Regulatory filing,2026-08-05,https://www.sec.gov/Archives/edgar/data/1792789/000179278926000050/dash-20260630.htm,"Business model, regulatory risk, Dasher compensation/pay-model investigations, processor funds and marketplace scale context."
S4,Building an in-house case management platform,DoorDash Engineering,B / Primary company engineering,2025-04-15,https://careersatdoordash.com/blog/doordash-case-management-platform/,"DoorDash says support agents historically used disconnected internal/third-party tools; fragmentation caused slower responses, manual workarounds and inconsistent experiences; goal was a single source of truth."
S5,Fighting Fraud at Scale: real-time rules engine,DoorDash Engineering,B / Primary company engineering,2026-03-09,https://careersatdoordash.com/blog/doordash-fraud-insights-from-building-a-real-time-rules-engine/,"Fraud rules in code were too slow to change; overly conservative rules could block legitimate activity; DoorDash added versioning, backtesting, shadow mode, experiments, auditability."
S6,Supercharging logistics through causal ML and joint optimization,DoorDash Engineering,B / Primary company engineering,2026-05-21,https://careersatdoordash.com/blog/supercharging-doordash-logistics-through-causal-ml-and-joint-optimization/,Batch rate can reduce Dasher cost while increasing delivery duration; supply and assignment decisions require joint optimization.
S7,Implement integrated promotions,DoorDash Developer Services,B / Primary company developer docs,2026,https://developer.doordash.com/docs/marketplace/how_to/integrated_promotions/,Promotion reconciliation is time-consuming; new structured merchant/co-funded/stacked promotion fields support accurate downstream POS reconciliation.
S8,DoorDash Merchant Pricing,DoorDash Merchant,B / Primary company merchant docs,Current 2026,https://merchants.doordash.com/en-us/pricing,"US Marketplace delivery commission tiers: Basic 15%, Plus 25%, Premier 30%; pickup 6%."
S9,Menu Pricing Insights,DoorDash Merchant,B / Primary company merchant research,2024 page; cites 2023 study,https://merchants.doordash.com/en-us/learning-center/menu-pricing-insights,DoorDash internal study: marked-up restaurants could see up to 37% fewer sales and up to 78% lower reorder rates.
S10,Understanding Error Charges and Disputes,DoorDash Merchant Help,B / Primary company policy/help,2026-09-18,https://help.doordash.com/en-us/merchants/article/what-are-order-error-adjustments,Claims use photo/error/fraud criteria; merchant error charges may be 25%-100% of applicable item price + tax; disputes are available.
S11,What fees do I pay?,DoorDash Consumer Help,B / Primary company consumer help,Current 2026,https://help.doordash.com/consumers/s/article/What-fees-do-I-pay,"Fees can vary with distance, order size, merchant, membership and regulation; late-July-2026 fee update rollout excludes several markets initially."
S12,What is DashPass?,DoorDash Consumer Help,B / Primary company consumer help,Current 2026,https://help.doordash.com/consumers/s/article/What-is-DashPass,"Eligible DashPass orders receive $0 delivery fees and reduced service fees, subject to merchant/subtotal eligibility."
S13,DoorDash BBB complaints profile,Better Business Bureau,C / Complaint-channel signal,2026-09-21,https://www.bbb.org/us/co/san-francisco/profile/food-delivery/doordash-1116-545841/complaints,"21,839 complaints in prior 3 years with category breakdown. Signal only; not a DoorDash-wide defect rate or representative sample."
